id,name,state,city,roof_area_sqft,latitude,longitude,company_id,building_type,land_use_type,footprint_wkt,data_source
ms-tx-000000,Microsoft footprint TX #1,TX,,242367.4,32.3025810,-96.5915369,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.591738 32.301626, -96.590909 32.301977, -96.590859 32.301894, -96.590493 32.302049, -96.591379 32.303544, -96.591566 32.303465, -96.591636 32.303583, -96.591889 32.303475, -96.591798 32.303323, -96.592555 32.303002, -96.591738 32.301626)))",microsoft_us_building_footprints
ms-tx-000001,Microsoft footprint TX #2,TX,,157712.79,36.4026593,-100.1379106,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-100.138519 36.402809, -100.137863 36.402116, -100.137607 36.40203, -100.1376 36.401945, -100.137461 36.401899, -100.137375 36.401903, -100.137279 36.401962, -100.137284 36.40202, -100.137204 36.401993, -100.137123 36.402042, -100.137087 36.402111, -100.136975 36.402118, -100.136872 36.402009, -100.136655 36.402021, -100.137244 36.402644, -100.137288 36.402617, -100.137476 36.402681, -100.13749 36.402841, -100.137759 36.402931, -100.137785 36.40324, -100.137843 36.4033, -100.138253 36.403277, -100.138258 36.403283, -100.138738 36.403445, -100.13861 36.403309, -100.138647 36.403238, -100.138559 36.403144, -100.138988 36.40312, -100.139156 36.403017, -100.139151 36.402959, -100.138985 36.402784, -100.138519 36.402809)))",microsoft_us_building_footprints
ms-tx-000002,Microsoft footprint TX #3,TX,,336658.79,32.4927996,-100.3628598,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-100.362734 32.491587, -100.362727 32.491572, -100.362328 32.491691, -100.362154 32.491592, -100.361698 32.491729, -100.361945 32.49187, -100.362199 32.491794, -100.362114 32.4919, -100.362083 32.491882, -100.362099 32.491922, -100.361671 32.49205, -100.361784 32.49232, -100.361737 32.492335, -100.361697 32.49224, -100.36169 32.492242, -100.361866 32.49266, -100.362175 32.492568, -100.362368 32.493025, -100.362504 32.492984, -100.363067 32.494323, -100.363722 32.494127, -100.363525 32.493657, -100.363824 32.493283, -100.364136 32.49346, -100.364246 32.493322, -100.3638 32.493067, -100.363671 32.493228, -100.363033 32.491712, -100.362981 32.491728, -100.362734 32.491587)))",microsoft_us_building_footprints
ms-tx-000003,Microsoft footprint TX #4,TX,,121145.32,32.7257737,-96.6383136,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.63788 32.726352, -96.638051 32.726355, -96.638048 32.726498, -96.638303 32.726502, -96.638301 32.72661, -96.639049 32.726621, -96.638956 32.726362, -96.638322 32.726352, -96.638324 32.726269, -96.638425 32.72627, -96.638438 32.725648, -96.638285 32.725645, -96.638262 32.725579, -96.638615 32.725585, -96.638617 32.725497, -96.638578 32.725496, -96.63857 32.725474, -96.638785 32.725477, -96.638791 32.725186, -96.638723 32.725185, -96.638726 32.725019, -96.638295 32.725012, -96.638296 32.724962, -96.637918 32.724956, -96.637915 32.725106, -96.637886 32.725113, -96.63797 32.725347, -96.638046 32.725348, -96.638043 32.725502, -96.637898 32.725499, -96.63788 32.726352)))",microsoft_us_building_footprints
ms-tx-000004,Microsoft footprint TX #5,TX,,112297.7,32.9213006,-96.6225811,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.622029 32.920782, -96.622009 32.921626, -96.622385 32.921632, -96.62239 32.921396, -96.622468 32.921397, -96.622456 32.921897, -96.623081 32.921907, -96.623086 32.921691, -96.623027 32.92169, -96.623035 32.921327, -96.623078 32.921328, -96.623089 32.920871, -96.622995 32.92087, -96.622998 32.920739, -96.622746 32.920735, -96.622743 32.920877, -96.622393 32.920871, -96.622395 32.920788, -96.622029 32.920782)))",microsoft_us_building_footprints
ms-tx-000005,Microsoft footprint TX #6,TX,,263020.51,32.7791482,-96.6516478,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.651041 32.77809, -96.650685 32.778081, -96.650215 32.778469, -96.650325 32.778563, -96.650325 32.778559, -96.652278 32.780231, -96.652285 32.780232, -96.652392 32.780323, -96.653036 32.779792, -96.65292 32.779693, -96.652989 32.779636, -96.652761 32.779441, -96.6527 32.779491, -96.652676 32.77949, -96.651041 32.77809)))",microsoft_us_building_footprints
ms-tx-000006,Microsoft footprint TX #7,TX,,279616.5,32.7751198,-96.6567539,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.656324 32.773975, -96.655808 32.7744, -96.655775 32.774372, -96.655736 32.774404, -96.655772 32.774435, -96.655471 32.774683, -96.657399 32.776338, -96.657875 32.775946, -96.657856 32.775929, -96.657972 32.775834, -96.657712 32.775611, -96.65771 32.775613, -96.657364 32.775315, -96.65763 32.775096, -96.656324 32.773975)))",microsoft_us_building_footprints
ms-tx-000007,Microsoft footprint TX #8,TX,,243234.5,32.8780465,-96.6635098,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.662632 32.878578, -96.663825 32.878587, -96.663824 32.878684, -96.664307 32.878687, -96.664308 32.878586, -96.664587 32.878588, -96.664588 32.878457, -96.664427 32.878456, -96.664432 32.877964, -96.664521 32.877965, -96.664522 32.877839, -96.664433 32.877838, -96.664434 32.877714, -96.664523 32.877715, -96.664524 32.877621, -96.664421 32.877621, -96.664423 32.877491, -96.662637 32.877478, -96.662635 32.877609, -96.662399 32.877607, -96.662398 32.877703, -96.662501 32.877703, -96.662494 32.878376, -96.662634 32.878377, -96.662632 32.878578)))",microsoft_us_building_footprints
ms-tx-000008,Microsoft footprint TX #9,TX,,335705.49,32.9048685,-96.6725883,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.671458 32.904199, -96.671444 32.90552, -96.673718 32.905538, -96.673733 32.904217, -96.671458 32.904199)))",microsoft_us_building_footprints
ms-tx-000009,Microsoft footprint TX #10,TX,,100874.29,33.0953565,-96.6740015,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.673415 33.095913, -96.674033 33.096098, -96.674588 33.0948, -96.67397 33.094615, -96.673415 33.095913)))",microsoft_us_building_footprints
ms-tx-000010,Microsoft footprint TX #11,TX,,187859.23,33.0057517,-96.6685746,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.668172 33.004667, -96.668157 33.006778, -96.668556 33.00678, -96.668556 33.006668, -96.66868 33.006669, -96.66868 33.00666, -96.669101 33.006662, -96.669107 33.005879, -96.668905 33.005878, -96.668914 33.004671, -96.668172 33.004667)))",microsoft_us_building_footprints
ms-tx-000011,Microsoft footprint TX #12,TX,,107624.14,32.9047320,-96.6680305,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.668449 32.904153, -96.66762 32.904149, -96.667612 32.905311, -96.668441 32.905315, -96.668449 32.904153)))",microsoft_us_building_footprints
ms-tx-000012,Microsoft footprint TX #13,TX,,101527.82,33.0061698,-96.6706207,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.670284 33.006642, -96.670126 33.006641, -96.670125 33.006841, -96.670659 33.006843, -96.67066 33.006649, -96.671011 33.006651, -96.671017 33.005543, -96.67029 33.00554, -96.670284 33.006642)))",microsoft_us_building_footprints
ms-tx-000013,Microsoft footprint TX #14,TX,,103426.04,32.8018893,-96.6864082,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.68754 32.801695, -96.687334 32.801683, -96.687329 32.801744, -96.686159 32.801676, -96.686181 32.801411, -96.685768 32.801387, -96.685755 32.801552, -96.685587 32.801542, -96.68558 32.801627, -96.685713 32.801635, -96.685729 32.801649, -96.685688 32.802157, -96.686175 32.802185, -96.686154 32.802434, -96.686403 32.802448, -96.686478 32.802385, -96.686509 32.802001, -96.686693 32.802012, -96.686636 32.802061, -96.686634 32.802061, -96.686637 32.802031, -96.686574 32.802028, -96.68657 32.802073, -96.68668 32.802079, -96.686679 32.802085, -96.687202 32.802115, -96.687168 32.802087, -96.686848 32.802068, -96.686856 32.801976, -96.687514 32.802015, -96.68754 32.801695)))",microsoft_us_building_footprints
