id,name,state,city,roof_area_sqft,latitude,longitude,company_id,building_type,land_use_type,footprint_wkt,data_source
ms-ak-000000,Microsoft footprint AK #1,AK,,215223.53,61.2676138,-149.7030006,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.70323 61.266255, -149.701913 61.266342, -149.701956 61.266491, -149.701987 61.266489, -149.702142 61.267031, -149.702208 61.267027, -149.702247 61.267163, -149.70222 61.267165, -149.702336 61.26757, -149.702407 61.267565, -149.702447 61.267706, -149.70242 61.267708, -149.702535 61.268111, -149.702598 61.268107, -149.702636 61.268241, -149.702614 61.268243, -149.70273 61.268651, -149.702803 61.268646, -149.702842 61.268783, -149.702808 61.268786, -149.702882 61.269045, -149.704006 61.268971, -149.70323 61.266255)))",microsoft_us_building_footprints
ms-ak-000001,Microsoft footprint AK #2,AK,,133237.04,58.3590232,-134.4788621,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-134.478223 58.359763, -134.47938 58.359761, -134.47938 58.359654, -134.47946 58.359654, -134.479459 58.359498, -134.479732 58.359497, -134.479731 58.359299, -134.479467 58.3593, -134.479459 58.35826, -134.478471 58.358262, -134.478471 58.358302, -134.478275 58.358302, -134.478276 58.35834, -134.478213 58.35834, -134.478223 58.359763)))",microsoft_us_building_footprints
ms-ak-000002,Microsoft footprint AK #3,AK,,175720.74,61.1820211,-149.8783515,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.876633 61.182451, -149.877008 61.182451, -149.877008 61.182464, -149.879823 61.182471, -149.879833 61.181574, -149.879553 61.181574, -149.879553 61.181543, -149.879426 61.181543, -149.879426 61.1815, -149.879259 61.181499, -149.879258 61.181548, -149.878999 61.181548, -149.879 61.1815, -149.878705 61.181499, -149.878704 61.181542, -149.877881 61.18154, -149.877881 61.181576, -149.877023 61.181574, -149.877018 61.182079, -149.876637 61.182078, -149.876633 61.182451)))",microsoft_us_building_footprints
ms-ak-000003,Microsoft footprint AK #4,AK,,169728.59,61.1963795,-149.7599302,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.757921 61.196286, -149.757925 61.196967, -149.758895 61.196966, -149.758894 61.196779, -149.759969 61.196777, -149.760195 61.196891, -149.760213 61.196891, -149.76061 61.196707, -149.760558 61.196681, -149.761456 61.196267, -149.761455 61.196213, -149.761839 61.196212, -149.762189 61.196051, -149.762188 61.195868, -149.761961 61.195754, -149.761865 61.195798, -149.761781 61.195756, -149.761574 61.195756, -149.761347 61.195861, -149.761244 61.19581, -149.760774 61.19581, -149.76076 61.195803, -149.760681 61.195803, -149.760452 61.195909, -149.760306 61.195909, -149.760302 61.195911, -149.760302 61.195975, -149.759795 61.196209, -149.759795 61.196227, -149.759209 61.196227, -149.75921 61.196271, -149.75795 61.196273, -149.757921 61.196286)))",microsoft_us_building_footprints
ms-ak-000004,Microsoft footprint AK #5,AK,,160890.21,71.2532884,-156.1587462,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-156.156643 71.253543, -156.15708 71.253728, -156.157276 71.253932, -156.158037 71.253985, -156.158116 71.254067, -156.158515 71.254154, -156.158701 71.254136, -156.158802 71.253986, -156.158954 71.253948, -156.158871 71.253931, -156.158896 71.253893, -156.15887 71.253875, -156.158789 71.25379, -156.159398 71.253641, -156.159489 71.253735, -156.159627 71.253745, -156.159692 71.253649, -156.160751 71.253544, -156.160055 71.253251, -156.160423 71.253161, -156.160514 71.253026, -156.160075 71.252841, -156.160415 71.252758, -156.160289 71.252626, -156.159002 71.252537, -156.158675 71.252399, -156.158216 71.252444, -156.158443 71.252682, -156.15868 71.252733, -156.157995 71.252901, -156.156643 71.253543)))",microsoft_us_building_footprints
ms-ak-000005,Microsoft footprint AK #6,AK,,277795.08,61.3694001,-149.5354604,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.533348 61.36958, -149.534386 61.369869, -149.534265 61.369969, -149.534471 61.370026, -149.534545 61.369966, -149.534906 61.370066, -149.534926 61.370222, -149.535445 61.370367, -149.535575 61.37026, -149.535721 61.3703, -149.535815 61.370223, -149.536424 61.370393, -149.537224 61.369734, -149.536829 61.369624, -149.53692 61.369549, -149.535928 61.369273, -149.536757 61.368589, -149.536529 61.368526, -149.536494 61.368249, -149.536237 61.368178, -149.535761 61.368192, -149.534915 61.368889, -149.534922 61.368941, -149.534872 61.368928, -149.534877 61.368966, -149.53459 61.368886, -149.534475 61.368981, -149.534276 61.368926, -149.534213 61.368977, -149.53428 61.368996, -149.534066 61.369172, -149.533899 61.369125, -149.533348 61.36958)))",microsoft_us_building_footprints
ms-ak-000006,Microsoft footprint AK #7,AK,,133109.01,61.2171324,-149.8194150,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.82055 61.21659, -149.820053 61.216704, -149.819433 61.21657, -149.819361 61.216647, -149.819208 61.216614, -149.81903 61.216654, -149.818896 61.216798, -149.818898 61.21689, -149.818785 61.216916, -149.81864 61.216884, -149.818636 61.21674, -149.8185 61.216741, -149.818353 61.216898, -149.818116 61.216953, -149.818165 61.21738, -149.817937 61.217381, -149.817939 61.217468, -149.818098 61.217432, -149.818318 61.21748, -149.818322 61.217635, -149.81974 61.217627, -149.819734 61.21738, -149.819865 61.217379, -149.81986 61.217159, -149.8202 61.217157, -149.820209 61.21748, -149.820463 61.217479, -149.820461 61.217401, -149.821017 61.217397, -149.82101 61.217139, -149.820564 61.217142, -149.82055 61.21659)))",microsoft_us_building_footprints
ms-ak-000007,Microsoft footprint AK #8,AK,,104139.79,61.3090574,-149.5347371,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.536312 61.308657, -149.533213 61.308648, -149.533211 61.308771, -149.533554 61.308772, -149.53364 61.308784, -149.533622 61.308815, -149.533718 61.308815, -149.533745 61.308772, -149.533804 61.308772, -149.533795 61.309492, -149.533938 61.309492, -149.533939 61.309457, -149.534101 61.309398, -149.534099 61.309541, -149.534981 61.309544, -149.534981 61.30955, -149.535973 61.309553, -149.535975 61.30945, -149.5358 61.30945, -149.5358 61.309449, -149.535336 61.309154, -149.534917 61.309095, -149.534915 61.309292, -149.534442 61.309226, -149.534444 61.309035, -149.53445 61.309026, -149.535403 61.309029, -149.536311 61.3087, -149.536312 61.308657)))",microsoft_us_building_footprints
ms-ak-000008,Microsoft footprint AK #9,AK,,106051.16,61.1911405,-149.9002333,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.901586 61.191444, -149.901585 61.190836, -149.898878 61.190837, -149.898878 61.190918, -149.898881 61.190918, -149.898882 61.191445, -149.901586 61.191444)))",microsoft_us_building_footprints
ms-ak-000009,Microsoft footprint AK #10,AK,,164252.79,61.2331685,-149.8422835,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.840001 61.232892, -149.840004 61.233451, -149.844566 61.233445, -149.844563 61.232886, -149.840001 61.232892)))",microsoft_us_building_footprints
ms-ak-000010,Microsoft footprint AK #11,AK,,376160.45,61.1430851,-149.8683480,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.867371 61.143162, -149.867366 61.142866, -149.867639 61.142866, -149.867402 61.14265, -149.867701 61.142649, -149.867699 61.142534, -149.868033 61.142449, -149.868028 61.142131, -149.866172 61.142138, -149.866181 61.142705, -149.866846 61.142703, -149.866848 61.142833, -149.867138 61.142899, -149.867 61.142934, -149.867001 61.143026, -149.866642 61.143027, -149.86664 61.14292, -149.866342 61.142921, -149.866344 61.143028, -149.865108 61.143032, -149.865115 61.143528, -149.868032 61.143518, -149.867785 61.143771, -149.869311 61.143766, -149.86945 61.143775, -149.871019 61.143769, -149.87101 61.14316, -149.870593 61.143266, -149.871277 61.142565, -149.869357 61.142572, -149.869358 61.142654, -149.867371 61.143162)))",microsoft_us_building_footprints
ms-ak-000011,Microsoft footprint AK #12,AK,,309257.97,61.1851862,-149.8650258,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-149.866284 61.184499, -149.865648 61.184121, -149.864888 61.184248, -149.864885 61.184298, -149.865277 61.184304, -149.865128 61.184362, -149.864503 61.184353, -149.864523 61.184037, -149.863077 61.184017, -149.863046 61.184523, -149.864023 61.184537, -149.863964 61.185514, -149.8636 61.185509, -149.863596 61.18557, -149.863702 61.185718, -149.86427 61.185726, -149.864251 61.186028, -149.86449 61.186032, -149.864514 61.185627, -149.864245 61.185624, -149.864247 61.185578, -149.865017 61.185449, -149.865031 61.185207, -149.86528 61.185354, -149.865264 61.18562, -149.865747 61.185627, -149.864973 61.186377, -149.864788 61.186374, -149.865166 61.1869, -149.865646 61.186906, -149.866169 61.186399, -149.866284 61.184499)))",microsoft_us_building_footprints
