company_id,has_esg_report,has_water_target,has_science_based_target,climate_risk_score,near_term_status,net_zero_status,esg_source,esg_confidence,sbti_ingested_at
cmp-amzn,true,true,true,62.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-wmt,true,true,true,58.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-tgt,true,true,true,55.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-fdx,true,true,false,60.0,Targets Set,,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-ups,true,true,true,59.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-tsla,true,false,false,64.0,Targets Set,,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-gm,true,true,true,57.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-intc,true,true,true,61.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-mu,true,true,true,56.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-ko,true,true,true,54.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-pep,true,true,true,53.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-xom,true,false,false,68.0,Committed,,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-cvs,true,true,false,50.0,Targets Set,,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-hd,true,true,false,52.0,Targets Set,,SBTi,0.88,2024-06-01T00:00:00+00:00
cmp-nke,true,true,true,51.0,Targets Set,Committed,SBTi,0.88,2024-06-01T00:00:00+00:00
