state,rainfall_inches_annual,water_price_per_1000_gal_usd
AL,56.0,4.20
AK,22.5,6.10
AZ,12,5.80
AR,50.6,4.10
CA,22.2,8.90
CO,17.0,5.20
CT,50.3,9.10
DC,41.0,8.50
DE,45.7,7.80
FL,54.5,4.60
GA,50.7,4.30
HI,63.7,7.20
ID,18.9,4.50
IL,39.2,6.10
IN,40.4,5.30
IA,34.0,4.80
KS,28.9,4.60
KY,46.0,4.20
LA,60.1,4.00
ME,42.2,5.70
MD,44.0,7.50
MA,47.7,9.20
MI,32.8,5.90
MN,27.3,5.40
MS,57.8,4.10
MO,42.2,4.90
MT,15.4,4.80
NE,23.6,4.60
NV,9.5,6.80
NH,43.0,6.20
NJ,47.1,9.10
NM,14.6,5.70
NY,41.8,8.40
NC,50.3,4.70
ND,17.0,4.90
OH,39.1,5.60
OK,36.5,4.40
OR,27.4,5.80
PA,42,7.20
RI,47.9,8.80
SC,49.8,4.30
SD,19.1,4.70
TN,53.7,4.20
TX,34,5.60
UT,13.6,5.10
VT,42.7,5.80
VA,44.3,5.90
WA,38.4,6.30
WV,45.2,4.60
WI,32.6,5.50
WY,12.9,5.30
