"stateFlagCode","state","WaterPricesMonthlyWaterBill_2025"
,"West Virginia",123
,"Oregon",94
,"Alaska",93
,"Washington",84
,"California",81
,"Wyoming",79
,"New Jersey",76
,"Hawaii",70
,"Arizona",57
,"Nevada",55
,"Maryland",54
,"Idaho",53
,"Delaware",51
,"Texas",48
,"Missouri",45
,"North Dakota",45
,"Colorado",44
,"Connecticut",44
,"Montana",44
,"Utah",44
,"Oklahoma",42
,"Tennessee",39
,"Virginia",39
,"Mississippi",38
,"Florida",37
,"Louisiana",37
,"Iowa",35
,"Massachusetts",35
,"New Mexico",35
,"Rhode Island",35
,"Nebraska",34
,"Indiana",33
,"Kansas",33
,"Kentucky",33
,"Pennsylvania",33
,"South Carolina",33
,"Minnesota",32
,"New York",32
,"Michigan",31
,"Georgia",30
,"New Hampshire",30
,"Ohio",30
,"Illinois",28
,"South Dakota",28
,"Alabama",26
,"Arkansas",26
,"Maine",24
,"Vermont",23
,"Wisconsin",23
,"North Carolina",21
